         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1375    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:827(_values)
      836    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      418    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\blocks.py:2716(new_block)
     1573    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:2765(check_dict_or_set_indexers)
      419    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:1462(_set_as_cached)
      418    0.002    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:948(from_blocks)
      418    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\_config\config.py:635(_get_root)
      418    0.000    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:910(__len__)
      822    0.001    0.000    0.002    0.000 <frozen codecs>:319(decode)
      418    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:974(__array__)
      418    0.000    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\base.py:86(_validate_set_axis)
     1672    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:1590(<genexpr>)
      418    0.000    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\common.py:568(require_length_match)
